site,method,horizon,quantile,initial_prediction,prediction_min,prediction_max,prediction_std,zero_fraction,all_quantile_crossing_fraction
colorado,quantile_flexible,1,0.25,0.0028391277374999998,-0.022093221413668037,0.8704432460171319,0.23785651306350036,0.0,0.7202868852459017
colorado,quantile_flexible,1,0.5,0.002968637408333333,-0.00797940270836051,0.8953282178594417,0.26132867270901355,0.0,0.7202868852459017
colorado,quantile_flexible,1,0.75,0.2559357708333333,-0.013523983864574393,0.908047610101963,0.2747490185095581,0.0,0.7202868852459017
colorado,quantile_flexible,1,0.9,0.6442140366666667,-0.007692879508441328,0.9087540851770695,0.29169739321071314,0.0,0.7202868852459017
colorado,quantile_flexible,1,0.95,0.75718654,0.0004788816649817785,0.9162854799661552,0.30061908723232167,0.0,0.7202868852459017
colorado,quantile_flexible,2,0.05,0.0026061076333333336,-0.007231728799054045,0.24073528326394464,0.07040459702942892,0.0,0.6849954462659381
colorado,quantile_flexible,2,0.1,0.0027168511666666667,-0.022227267205653038,0.5407826389438884,0.1371025559101854,0.0,0.6849954462659381
colorado,quantile_flexible,2,0.25,0.0028391349,-0.03131862776589534,0.8624614289817477,0.21961080789823448,0.0,0.6849954462659381
colorado,quantile_flexible,2,0.5,0.0029686379666666665,-0.019539902251731925,0.8839119818825113,0.2573123940812903,0.0,0.6849954462659381
colorado,quantile_flexible,2,0.75,0.25595686333333334,-0.01188442198047588,0.9129937023615485,0.2794866505293763,0.0,0.6849954462659381
colorado,quantile_flexible,2,0.9,0.6442140366666667,-0.0007725884949248916,0.9068989166343513,0.3007978539020844,0.0,0.6849954462659381
colorado,quantile_flexible,2,0.95,0.75718654,-0.0028012478132598425,0.9330574046628106,0.3148231135096345,0.0,0.6849954462659381
colorado,quantile_flexible,3,0.05,0.0026061076333333336,-0.008172805257520357,0.22557219567232675,0.05613043647442017,0.0,0.7068533697632058
colorado,quantile_flexible,3,0.1,0.0027168790666666667,-0.01914728503115487,0.5523109665754482,0.11934563026214129,0.0,0.7068533697632058
colorado,quantile_flexible,3,0.25,0.00283913695,-0.06101573342678625,0.8887865729048999,0.2056536148422048,0.0,0.7068533697632058
colorado,quantile_flexible,3,0.5,0.0029687146416666668,-0.01988187764751847,0.9010478692172289,0.25625684810699345,0.0,0.7068533697632058
colorado,quantile_flexible,3,0.75,0.25595686333333334,-0.0429233521177059,0.9116581722014676,0.2819497520751116,0.0,0.7068533697632058
colorado,quantile_flexible,3,0.9,0.6442193473333334,-0.0004235322522097181,0.9061694413088671,0.30530530113068566,0.0,0.7068533697632058
colorado,quantile_flexible,3,0.95,0.75718654,0.0023987318183856608,0.9162312784412938,0.31665612788623837,0.0,0.7068533697632058
colorado,quantile_flexible,4,0.05,0.0026061076333333336,-0.0047674423504091455,0.22289408699838098,0.0539129172311437,0.0,0.7259790528233151
colorado,quantile_flexible,4,0.1,0.0027170488416666666,-0.019237254533415384,0.467364400925043,0.10697763458884606,0.0,0.7259790528233151
colorado,quantile_flexible,4,0.25,0.0028391636000000002,-0.03409071596789478,0.888880178697994,0.1991121526042662,0.0,0.7259790528233151
colorado,quantile_flexible,4,0.5,0.0029687913166666666,-0.04232460081900605,0.8973804022797257,0.2549082571406429,0.0,0.7259790528233151
colorado,quantile_flexible,4,0.75,0.25595686333333334,-0.022722131999063984,0.900367813088585,0.2840507285416883,0.0,0.7259790528233151
colorado,quantile_flexible,4,0.9,0.64424059,-0.000742251918195694,0.9114327759966976,0.30921897012895894,0.0,0.7259790528233151
colorado,quantile_flexible,4,0.95,0.75718654,-0.0003186818632864641,0.904349752958479,0.3173651022985984,0.0,0.7259790528233151
