split,scenario,phase,method,horizon,n,nwis,wis_kw,mae_kw,coverage50,coverage80,coverage90,width90_kw,events
calibration,irradiance_only,background,rolling,2,499,0.0945349872902379,25.590621059467402,62.70427590530975,0.5270541082164328,0.8136272545090181,0.9539078156312625,147.81787080185015,0
calibration,irradiance_only,background,rolling,3,505,0.11201309952054407,30.32194604021128,90.55094844956314,0.5326732673267327,0.7861386138613862,0.9386138613861386,152.30681715171852,0
calibration,irradiance_only,background,rolling,4,511,0.12210108826122053,33.0527645923124,103.40070841487281,0.5166340508806262,0.7064579256360078,0.837573385518591,141.40657836711014,0
calibration,irradiance_only,outage,context,1,51,0.08259560812794206,22.358631120233916,54.604128928484535,0.5294117647058824,0.8431372549019608,0.9215686274509803,144.9586063817824,6
calibration,irradiance_only,outage,context,2,45,0.08636319273371881,23.378516273017684,47.471336108490654,0.5777777777777777,0.8222222222222222,0.9555555555555556,146.76874344645842,6
calibration,irradiance_only,outage,context,3,39,0.0960868173304606,26.010701451355683,66.76526781500463,0.46153846153846156,0.8461538461538461,0.9743589743589743,144.4153627474645,6
calibration,irradiance_only,outage,context,4,33,0.09396860493024012,25.437301354615997,74.17516464646465,0.36363636363636365,0.6363636363636364,0.8787878787878788,112.36561401179638,6
calibration,irradiance_only,outage,persistence,1,51,0.06320531381620496,17.109678450046687,28.649481045751635,0.1568627450980392,0.7450980392156863,0.8431372549019608,96.8366137254902,6
calibration,irradiance_only,outage,persistence,2,45,0.09734484743649131,26.3512502010582,45.007657037037035,0.35555555555555557,0.6222222222222222,0.8222222222222222,157.2571162962963,6
calibration,irradiance_only,outage,persistence,3,39,0.11314241984670503,30.627653052503053,53.76477094017093,0.3333333333333333,0.7692307692307693,0.8717948717948718,202.53516752136753,6
calibration,irradiance_only,outage,persistence,4,33,0.1353252601480529,36.63254792207792,66.22168888888889,0.36363636363636365,0.7575757575757576,0.9090909090909091,238.87174545454545,6
calibration,irradiance_only,outage,quantile_raw,1,51,0.08255188869086721,22.346796268617755,54.604128928484535,0.5294117647058824,0.8235294117647058,0.9215686274509803,144.13773204516582,6
calibration,irradiance_only,outage,quantile_raw,2,45,0.08628841616057628,23.358274254667993,47.471336108490654,0.5777777777777777,0.8222222222222222,0.9555555555555556,145.33764457640197,6
calibration,irradiance_only,outage,quantile_raw,3,39,0.09612957969967449,26.02227722470188,66.76526781500463,0.46153846153846156,0.8461538461538461,0.9743589743589743,144.4153627474645,6
calibration,irradiance_only,outage,quantile_raw,4,33,0.09969184509547002,26.986582467343734,74.17516464646465,0.36363636363636365,0.48484848484848486,0.696969696969697,102.20730860944953,6
calibration,irradiance_only,outage,recovery,1,51,0.08255188869086721,22.346796268617755,54.604128928484535,0.5294117647058824,0.8235294117647058,0.9215686274509803,144.13773204516582,6
