site,scenario,period,method,horizon,n,nwis,nmae,coverage50,coverage80,coverage90,nwidth90,events
nist,clean,validation,single_imputation_compact,3,1899,0.07043116480206896,0.10301015616128724,0.3591363875724065,0.5350184307530279,0.6171669299631385,0.2051387494500421,0
nist,clean,validation,single_imputation_compact,4,1899,0.08200478274678988,0.11921495903611176,0.33228014744602424,0.5139547130068457,0.6061084781463928,0.22543745741542012,0
nist,clean,validation,single_imputation_flexible,1,1899,0.04394867865804187,0.05845937211630641,0.34228541337546076,0.5092153765139548,0.5787256450763559,0.08974542966032205,0
nist,clean,validation,single_imputation_flexible,2,1899,0.06393290610784513,0.08303436241457766,0.3054239073196419,0.4570826750921538,0.5197472353870458,0.11140241297078109,0
nist,clean,validation,single_imputation_flexible,3,1899,0.08070666607411445,0.1026543153777175,0.27540810953133227,0.3970510795155345,0.45392311743022645,0.12022913375117286,0
nist,clean,validation,single_imputation_flexible,4,1899,0.09610772063376066,0.12012487305959399,0.2459189046866772,0.36124275934702477,0.4207477619799895,0.12649228230732348,0
nist,clean,warmup,geometric_persistence,1,289,0.0405669359292177,0.053252179367406643,0.4290657439446367,0.615916955017301,0.7197231833910035,0.20458336677515387,0
nist,clean,warmup,geometric_persistence,2,289,0.0646901413428566,0.09306370438289233,0.3875432525951557,0.5951557093425606,0.6885813148788927,0.33592048442935357,0
nist,clean,warmup,geometric_persistence,3,289,0.08210321625679091,0.12610061586780694,0.370242214532872,0.5778546712802768,0.6816608996539792,0.4174382064866926,0
nist,clean,warmup,geometric_persistence,4,289,0.09855359184842438,0.16155118223508247,0.3494809688581315,0.5536332179930796,0.6816608996539792,0.4479267688513861,0
nist,clean,warmup,multiple_imputation_compact,1,289,0.03491238787120101,0.052730772883174834,0.5121107266435986,0.7058823529411765,0.7647058823529411,0.14273054217829734,0
nist,clean,warmup,multiple_imputation_compact,2,289,0.05864784134720989,0.08700542849989053,0.4013840830449827,0.5570934256055363,0.6539792387543253,0.18102372549185952,0
nist,clean,warmup,multiple_imputation_compact,3,289,0.07044898885019979,0.10531851184655065,0.33217993079584773,0.5259515570934256,0.6262975778546713,0.20534925462169365,0
nist,clean,warmup,multiple_imputation_compact,4,289,0.09151536312182401,0.13125812496547815,0.3044982698961938,0.47750865051903113,0.5709342560553633,0.22510334494159961,0
nist,clean,warmup,multiple_imputation_flexible,1,289,0.037480425337013845,0.051806452553585146,0.3806228373702422,0.5467128027681661,0.6228373702422145,0.09088481903271385,0
nist,clean,warmup,multiple_imputation_flexible,2,289,0.06347504560623161,0.08448930664862886,0.2560553633217993,0.42214532871972316,0.49480968858131485,0.11320867763692426,0
nist,clean,warmup,multiple_imputation_flexible,3,289,0.08299801950699624,0.10648526300697037,0.23183391003460208,0.3494809688581315,0.4117647058823529,0.12232502570399384,0
nist,clean,warmup,multiple_imputation_flexible,4,289,0.10857285692231937,0.13425600011313274,0.23183391003460208,0.33217993079584773,0.4117647058823529,0.12875210816892013,0
nist,clean,warmup,persistence,1,289,0.0637455769608741,0.09786136097238608,0.4013840830449827,0.6747404844290658,0.7820069204152249,0.32413163584606336,0
nist,clean,warmup,persistence,2,289,0.0982238090612068,0.16177512378731887,0.41522491349480967,0.6470588235294118,0.7681660899653979,0.49568751637750635,0
nist,clean,warmup,persistence,3,289,0.12000718702885664,0.2090872135507542,0.3806228373702422,0.6366782006920415,0.754325259515571,0.5470418652738908,0
nist,clean,warmup,persistence,4,289,0.12978919253179008,0.23772489794283605,0.356401384083045,0.6124567474048442,0.7508650519031141,0.5610632709677887,0
nist,clean,warmup,quantile_compact,1,289,0.07721629338500793,0.23876633776437645,0.6747404844290658,0.8131487889273357,0.9134948096885813,0.3796881048673969,0
nist,clean,warmup,quantile_compact,2,289,0.08608008391189638,0.2520318850435233,0.6262975778546713,0.7923875432525952,0.8650519031141869,0.4403269057485718,0
nist,clean,warmup,quantile_compact,3,289,0.09006989767484613,0.24692090669303685,0.629757785467128,0.7923875432525952,0.8650519031141869,0.4693127941832881,0
nist,clean,warmup,quantile_compact,4,289,0.09487273302302165,0.26076256290560296,0.6228373702422145,0.7750865051903114,0.8581314878892734,0.4744644670387535,0
nist,clean,warmup,quantile_flexible,1,289,0.07183139172171923,0.2089061588316835,0.6262975778546713,0.7785467128027682,0.8788927335640139,0.36469283647963974,0
nist,clean,warmup,quantile_flexible,2,289,0.08371115058099016,0.23774786687840413,0.6089965397923875,0.7577854671280276,0.8373702422145328,0.4236729625279997,0
nist,clean,warmup,quantile_flexible,3,289,0.08903397741511886,0.23215903772117147,0.6020761245674741,0.7370242214532872,0.8269896193771626,0.4575370490518754,0
nist,clean,warmup,quantile_flexible,4,289,0.09783560693687078,0.26076256290560296,0.5916955017301038,0.7301038062283737,0.8408304498269896,0.46298780203315065,0
nist,clean,warmup,single_imputation_compact,1,289,0.03419403669663056,0.05137709217454247,0.5155709342560554,0.7024221453287197,0.7647058823529411,0.14032201940064254,0
nist,clean,warmup,single_imputation_compact,2,289,0.05831917507453114,0.08635441761657586,0.39792387543252594,0.5570934256055363,0.6539792387543253,0.17976069802745398,0
nist,clean,warmup,single_imputation_compact,3,289,0.07082743081757224,0.10563194912156232,0.33217993079584773,0.5224913494809689,0.615916955017301,0.20394569129420873,0
nist,clean,warmup,single_imputation_compact,4,289,0.09161727538947144,0.13129328596781983,0.30103806228373703,0.4809688581314879,0.5709342560553633,0.22406863822829692,0
nist,clean,warmup,single_imputation_flexible,1,289,0.03693492050593241,0.050615694590676025,0.3875432525951557,0.5467128027681661,0.6228373702422145,0.08791312530509543,0
nist,clean,warmup,single_imputation_flexible,2,289,0.06366059099354512,0.08414229317659117,0.2560553633217993,0.42214532871972316,0.4844290657439446,0.11079974689196159,0
nist,clean,warmup,single_imputation_flexible,3,289,0.08408465382767753,0.10736231084772761,0.22837370242214533,0.3460207612456747,0.40484429065743943,0.1199691080902285,0
nist,clean,warmup,single_imputation_flexible,4,289,0.10903867392136836,0.13432888071095267,0.22491349480968859,0.32525951557093424,0.4083044982698962,0.12648742819725453,0
nist,pv_only,development_evaluation,geometric_persistence,1,2138,0.05039390957020641,0.075444506431658,0.32039289055191766,0.617399438727783,0.764265668849392,0.2947105633225481,26
nist,pv_only,development_evaluation,geometric_persistence,2,2137,0.06940382153178005,0.11177846814966984,0.3233504913430042,0.6148806738418343,0.7636874122601778,0.42072271950996504,26
nist,pv_only,development_evaluation,geometric_persistence,3,2137,0.08455317579178384,0.143112634066634,0.3191389798783341,0.6261113710809546,0.7618156293869911,0.505873204125634,26
nist,pv_only,development_evaluation,geometric_persistence,4,2137,0.09612322270950464,0.17269368800758295,0.3116518483855873,0.6195601310248011,0.7646233036967712,0.5577338402071312,26
nist,pv_only,development_evaluation,multiple_imputation_compact,1,2138,0.038188973465006895,0.05743472738052521,0.4920486435921422,0.6898971000935453,0.7628624883068288,0.15791120704213366,26
nist,pv_only,development_evaluation,multiple_imputation_compact,2,2137,0.052377689150566654,0.07913399716462385,0.42817033224146,0.6345343940102948,0.7290594291062237,0.19587019547327933,26
nist,pv_only,development_evaluation,multiple_imputation_compact,3,2137,0.06058932117619428,0.09143892897794122,0.4057089377632195,0.6158165652784277,0.7080018717828732,0.21456926245846816,26
nist,pv_only,development_evaluation,multiple_imputation_compact,4,2137,0.06749745383681834,0.10194770726874454,0.38979878334113244,0.600842302292934,0.6920917173607861,0.23252981819411647,26
nist,pv_only,development_evaluation,multiple_imputation_flexible,1,2138,0.04184434989248286,0.05731005130228499,0.3685687558465856,0.5500467726847521,0.6258185219831618,0.10616183862051434,26
nist,pv_only,development_evaluation,multiple_imputation_flexible,2,2137,0.05960810600735058,0.08029423896232207,0.3196069255966308,0.4866635470285447,0.5591951333645298,0.12700083446470514,26
nist,pv_only,development_evaluation,multiple_imputation_flexible,3,2137,0.06966661946156107,0.09215175432703131,0.30135704258306034,0.46467009826860084,0.5348619560131025,0.13235281152327355,26
nist,pv_only,development_evaluation,multiple_imputation_flexible,4,2137,0.08021480678322052,0.10444144968171641,0.271408516612073,0.41038839494618623,0.48947122133832477,0.13493261262504228,26
nist,pv_only,development_evaluation,persistence,1,2138,0.0733289597645728,0.12176706629925835,0.30963517305893357,0.6384471468662302,0.813376987839102,0.39592310326713037,26
nist,pv_only,development_evaluation,persistence,2,2137,0.10648160590929003,0.18919863935606152,0.31024801123069723,0.642957416939635,0.810014038371549,0.5546516771944369,26
nist,pv_only,development_evaluation,persistence,3,2137,0.12722646651411573,0.2359757705128739,0.3182030884417408,0.6462330369677117,0.801123069723912,0.6317284772123798,26
nist,pv_only,development_evaluation,persistence,4,2137,0.13720937462668867,0.26267740432394293,0.3214787084698175,0.6518483855872719,0.8072063640617688,0.6744718085177184,26
nist,pv_only,development_evaluation,quantile_compact,1,2138,0.08929925536818581,0.28605751835605303,0.705799812909261,0.8531337698783911,0.9176800748362957,0.4332278414052657,26
nist,pv_only,development_evaluation,quantile_compact,2,2137,0.09228037616024422,0.28899729428761045,0.6785212915301825,0.8586803930744034,0.926064576509125,0.45912144605697236,26
nist,pv_only,development_evaluation,quantile_compact,3,2137,0.0957990960155011,0.2907034259760897,0.6948993916705662,0.8511932615816565,0.9251286850725315,0.4689387248087886,26
nist,pv_only,development_evaluation,quantile_compact,4,2137,0.10105815049132895,0.32058750210391185,0.7009826860084231,0.8554047730463267,0.9330837622835751,0.4708000549562465,26
nist,pv_only,development_evaluation,quantile_flexible,1,2138,0.0814352922962627,0.23537523436191204,0.6403180542563143,0.8002806361085126,0.8891487371375117,0.41995115475344574,26
nist,pv_only,development_evaluation,quantile_flexible,2,2137,0.08920776052476041,0.26706175372841867,0.6251754796443613,0.8048666354702855,0.9050070191857744,0.4500578281975434,26
nist,pv_only,development_evaluation,quantile_flexible,3,2137,0.09254322701429596,0.26458840242945025,0.6485727655591952,0.8104819840898456,0.9068788020589612,0.46030810613897166,26
nist,pv_only,development_evaluation,quantile_flexible,4,2137,0.1022873127446625,0.32058750210391185,0.6420215255030417,0.7978474496958353,0.9017313991576977,0.4603773692884161,26
nist,pv_only,development_evaluation,single_imputation_compact,1,2138,0.038311562334926455,0.05673371201101521,0.47333956969130025,0.6739943872778298,0.7492984097287184,0.14416111804428472,26
nist,pv_only,development_evaluation,single_imputation_compact,2,2137,0.052570838891093714,0.07839846591622773,0.42395882077678987,0.6223678053345811,0.7164248947122134,0.183986999715836,26
