split,phase_detail,method,n,nwis,coverage50,coverage80,coverage90,width90_kw,repair_fraction,events
calibration,recovery_6_to_24h,expand_all,208,0.0925904063793121,0.7163461538461539,0.9182692307692307,0.9903846153846154,134.844538848112,0.1778846153846154,6
calibration,recovery_6_to_24h,expand_day,208,0.09284545842267967,0.7163461538461539,0.9278846153846154,0.9903846153846154,137.07729454407576,0.5480769230769231,6
calibration,recovery_6_to_24h,mask_day,208,0.09341727927987112,0.6394230769230769,0.8942307692307693,0.9855769230769231,135.38060490657037,0.9711538461538461,6
calibration,recovery_6_to_24h,raw,208,0.09252741720097866,0.7163461538461539,0.9182692307692307,0.9903846153846154,134.25299901024493,0.0,6
calibration,recovery_6_to_24h,recency_day,208,0.09345521759884676,0.6298076923076923,0.8990384615384616,0.9855769230769231,134.71430789458674,0.9711538461538461,6
calibration,recovery_6_to_24h,recovery_day,208,0.0933855447971142,0.6346153846153846,0.8942307692307693,0.9855769230769231,135.17349334250716,0.9807692307692307,6
calibration,recovery_6_to_24h,signed_all,208,0.0925904063793121,0.7163461538461539,0.9182692307692307,0.9903846153846154,134.844538848112,0.1778846153846154,6
calibration,recovery_6_to_24h,signed_day,208,0.0932805728150761,0.6201923076923077,0.8990384615384616,0.9807692307692307,134.427962150933,0.9615384615384616,6
development_evaluation,background,aci_bounded_day,1840,0.08670018998279891,0.5119565217391304,0.8342391304347826,0.9168478260869565,135.5194702913825,0.8510869565217392,0
development_evaluation,background,context_day,1840,0.08570007009951831,0.5934782608695652,0.8728260869565218,0.9527173913043478,139.67431034800893,0.7918478260869565,0
development_evaluation,background,expand_all,1840,0.08707890017201968,0.7494565217391305,0.8983695652173913,0.9597826086956521,143.89897572609053,0.0,0
development_evaluation,background,expand_day,1840,0.08708499310398136,0.7494565217391305,0.8983695652173913,0.9597826086956521,143.90405390012276,0.01847826086956522,0
development_evaluation,background,mask_day,1840,0.08634661107403101,0.595108695652174,0.8652173913043478,0.9516304347826087,141.26166625204877,0.7494565217391305,0
development_evaluation,background,raw,1840,0.08707890017201968,0.7494565217391305,0.8983695652173913,0.9597826086956521,143.89897572609053,0.0,0
development_evaluation,background,recency_day,1840,0.08643456030782333,0.5875,0.8668478260869565,0.95,141.08169789216376,0.7728260869565218,0
development_evaluation,background,recovery_day,1840,0.08634104439626543,0.6005434782608695,0.8668478260869565,0.9521739130434783,141.38759665417308,0.7679347826086956,0
development_evaluation,background,signed_all,1840,0.08707890017201968,0.7494565217391305,0.8983695652173913,0.9597826086956521,143.89897572609053,0.0,0
development_evaluation,background,signed_day,1840,0.08650260513213211,0.5945652173913043,0.8684782608695653,0.9478260869565217,140.7673956131935,0.7548913043478261,0
development_evaluation,outage,aci_bounded_day,104,0.09241261825923783,0.5288461538461539,0.7884615384615384,0.8653846153846154,186.27104470600165,0.6634615384615384,9
development_evaluation,outage,context_day,104,0.09299320171918406,0.5961538461538461,0.8557692307692307,0.9326923076923077,191.73511026735784,0.6057692307692307,9
development_evaluation,outage,expand_all,104,0.0931151450055515,0.8076923076923077,0.9519230769230769,1.0,196.4932929011598,0.0,9
development_evaluation,outage,expand_day,104,0.0931151450055515,0.8076923076923077,0.9519230769230769,1.0,196.4932929011598,0.0,9
development_evaluation,outage,mask_day,104,0.0921883261234518,0.5961538461538461,0.8557692307692307,0.9326923076923077,193.03086218158145,0.5,9
development_evaluation,outage,raw,104,0.0931151450055515,0.8076923076923077,0.9519230769230769,1.0,196.4932929011598,0.0,9
development_evaluation,outage,recency_day,104,0.09216974481335524,0.5961538461538461,0.8557692307692307,0.9423076923076923,193.3933199114419,0.5192307692307693,9
development_evaluation,outage,recovery_day,104,0.09212631940940398,0.5961538461538461,0.8461538461538461,0.9423076923076923,192.9820745826682,0.5,9
development_evaluation,outage,signed_all,104,0.0931151450055515,0.8076923076923077,0.9519230769230769,1.0,196.4932929011598,0.0,9
