native_date,bright_hours,ac_max_w,ac_median_w,dc_max_w,dc_median_w,dc_v_median,poa_median,module_sentinel_fraction,all_observed_bright_ac_below_10w
2016-07-27,10,756.766925,607.2294308333333,821.9536599999999,661.016165,243.02593583333334,784.0962641666666,0.0,False
2016-07-28,10,770.5658083333333,522.9461483333333,837.677355,570.2373,246.41807416666666,680.1071416666666,0.0,False
2016-07-29,10,685.1661683333333,498.97992666666664,745.3957516666667,546.2136375,244.96412166666664,637.2335208333334,0.0,False
2016-07-30,10,761.4363616666667,493.00552416666665,826.1189933333334,540.6282025,241.42098833333336,634.0106841666666,0.0,False
2016-07-31,5,606.4627016666667,337.72305,660.6999033333334,373.89956166666667,244.76644,411.0862266666666,0.0,False
2016-08-01,10,774.32344,521.22035,842.1679183333333,569.0426533333333,240.75932333333333,691.8553274999999,0.0,False
2016-08-02,9,757.99683,540.0187633333333,823.888865,590.9872933333334,242.83718166666668,697.97296,0.0,False
2016-08-03,10,749.1569966666667,477.9378691666667,814.4030783333333,523.8609958333334,240.528905,630.158455,0.0,False
2016-08-04,7,626.565125,446.1636,680.1625633333333,487.13962,251.84730833333333,565.351535,0.0,False
2016-08-05,6,476.07032833333335,240.0001041666667,519.53863,270.09313583333335,253.19079416666668,294.3374758333333,0.0,False
2016-08-06,7,557.95046,411.5534183333333,607.4049016666667,451.9114666666666,247.78169666666665,512.9408933333333,0.0,False
2016-08-07,10,767.7113283333333,572.9929666666667,833.4538333333334,625.9851424999999,241.13458833333334,742.6570783333333,0.0,False
2016-08-08,9,716.8658350000001,451.8995766666667,779.2264733333334,494.178565,244.00168666666667,600.0192683333333,0.0,False
2016-08-09,9,781.6223266666667,647.5181283333333,850.0112933333334,705.9193016666667,240.05835333333334,833.6396866666668,0.0,False
2016-08-10,9,746.5089933333333,454.5123633333333,810.8595,497.4424216666667,242.60308500000002,608.6803116666667,0.0,False
2016-08-11,9,792.87834,567.2173248333334,861.4519233333334,619.5383501666668,241.99331166666667,726.9108066666666,0.0,False
