site,case_id,case_group,phase,method,n,fallback_fraction,global_fallback_fraction,mean_pool,mean_effective_n,mean_score_age_h,nesting_repaired_fraction
reserve10,joint_none,primary,recovery_6_24,aci_bounded,1683,0.0,0.0,322.9714795008913,322.9714795008913,5.847296494355318,0.22756981580510993
reserve10,joint_none,primary,recovery_6_24,mask50,1683,0.0,0.10992275698158051,322.9714795008913,213.36537714144157,5.847296494355318,0.24004753416518124
reserve10,joint_none,primary,recovery_6_24,mi_recency,1683,0.0,0.0,322.9714795008913,240.70498717225428,5.847296494355318,0.38740344622697565
reserve10,joint_none,primary,recovery_6_24,physical,1683,0.0,0.0,322.9714795008913,173.48287765642215,5.847296494355318,0.26024955436720143
reserve10,joint_none,primary,recovery_6_24,physical_availability,1683,0.0,0.0017825311942959,322.9714795008913,111.82702455654514,5.847296494355318,0.2935234699940582
reserve10,joint_none,primary,recovery_6_24,physical_recovery,1683,0.0,0.0035650623885918,322.9714795008913,109.41383516102735,5.847296494355318,0.29233511586452765
reserve10,joint_none,primary,recovery_6_24,recency,1683,0.0,0.0,322.9714795008913,240.70498717225428,5.847296494355318,0.22697563874034463
reserve10,joint_none,primary,recovery_6_24,rolling,1683,0.0,0.0,322.9714795008913,322.9714795008913,5.847296494355318,0.2251931075460487
reserve10,irradiance_first,primary,normal,aci_bounded,12172,0.0,0.0,359.6851790995728,359.6851790995728,4.897551758133421,0.23020046007229708
reserve10,irradiance_first,primary,normal,mask50,12172,0.0,0.055208675649030564,359.6851790995728,229.12904358280605,4.897551758133421,0.23652645415708182
reserve10,irradiance_first,primary,normal,mi_recency,12172,0.0,0.0,359.6851790995728,265.99264327298215,4.897551758133421,0.3875287545185672
reserve10,irradiance_first,primary,normal,physical,12172,0.0,0.0,359.6851790995728,186.58736545655157,4.897551758133421,0.2582155767334867
reserve10,irradiance_first,primary,normal,physical_availability,12172,0.0,0.004354255668747946,359.6851790995728,157.3787366281485,4.897551758133421,0.2686493591850148
reserve10,irradiance_first,primary,normal,physical_recovery,12172,0.0,0.007394019060138022,359.6851790995728,154.74216935852343,4.897551758133421,0.26421294774893195
reserve10,irradiance_first,primary,normal,recency,12172,0.0,0.0,359.6851790995728,265.99264327298215,4.897551758133421,0.23307591192901742
reserve10,irradiance_first,primary,normal,rolling,12172,0.0,0.0,359.6851790995728,359.6851790995728,4.897551758133421,0.22001314492277357
reserve10,irradiance_first,primary,outage,aci_bounded,1193,0.0,0.0,352.9916177703269,352.9916177703269,14.559932942162614,0.2573344509639564
reserve10,irradiance_first,primary,outage,mask50,1193,0.0,0.2196144174350377,352.9916177703269,233.66856395446732,14.559932942162614,0.26152556580050296
reserve10,irradiance_first,primary,outage,mi_recency,1193,0.0,0.0,352.9916177703269,261.28135847745074,14.559932942162614,0.37133277451802177
reserve10,irradiance_first,primary,outage,physical,1193,0.0,0.0,352.9916177703269,189.0748700653582,14.559932942162614,0.29924559932942163
reserve10,irradiance_first,primary,outage,physical_availability,1193,0.0,0.009220452640402346,352.9916177703269,122.6546200841328,14.559932942162614,0.32606873428331934
reserve10,irradiance_first,primary,outage,physical_recovery,1193,0.0,0.009220452640402346,352.9916177703269,122.6546200841328,14.559932942162614,0.32606873428331934
reserve10,irradiance_first,primary,outage,recency,1193,0.0,0.0,352.9916177703269,261.28135847745074,14.559932942162614,0.26236378876781224
reserve10,irradiance_first,primary,outage,rolling,1193,0.0,0.0,352.9916177703269,352.9916177703269,14.559932942162614,0.23889354568315171
reserve10,irradiance_first,primary,partial_restoration,aci_bounded,275,0.0,0.0,359.3018181818182,359.3018181818182,19.509090909090908,0.24
reserve10,irradiance_first,primary,partial_restoration,mask50,275,0.0,0.13818181818181818,359.3018181818182,232.85461079784497,19.509090909090908,0.21454545454545454
reserve10,irradiance_first,primary,partial_restoration,mi_recency,275,0.0,0.0,359.3018181818182,267.49484949900466,19.509090909090908,0.4509090909090909
reserve10,irradiance_first,primary,partial_restoration,physical,275,0.0,0.0,359.3018181818182,186.73891354455745,19.509090909090908,0.2509090909090909
reserve10,irradiance_first,primary,partial_restoration,physical_availability,275,0.0,0.04,359.3018181818182,150.14418514288494,19.509090909090908,0.24
reserve10,irradiance_first,primary,partial_restoration,physical_recovery,275,0.0,0.04,359.3018181818182,150.14418514288494,19.509090909090908,0.24
reserve10,irradiance_first,primary,partial_restoration,recency,275,0.0,0.0,359.3018181818182,267.49484949900466,19.509090909090908,0.22181818181818183
reserve10,irradiance_first,primary,partial_restoration,rolling,275,0.0,0.0,359.3018181818182,359.3018181818182,19.509090909090908,0.24
reserve10,irradiance_first,primary,recovery_0_6,aci_bounded,484,0.0,0.0,361.5847107438017,361.5847107438017,4.857438016528926,0.2066115702479339
reserve10,irradiance_first,primary,recovery_0_6,mask50,484,0.0,0.08677685950413223,361.5847107438017,233.118344930833,4.857438016528926,0.21487603305785125
