method,origins,mean_score_updates_all_horizons,max_score_updates_all_horizons,p95_score_updates_all_horizons,fraction_origins_with_updates,site,case_id,case_group
physical_availability,8012,1.9755366949575637,20,4.0,0.46330504243634546,colorado,joint_gradual,primary
physical_recovery,8012,1.9755366949575637,20,4.0,0.46330504243634546,colorado,joint_gradual,primary
recency,8012,1.9755366949575637,20,4.0,0.46330504243634546,colorado,joint_gradual,primary
rolling,8012,1.9755366949575637,20,4.0,0.46330504243634546,colorado,joint_gradual,primary
aci_bounded,8012,1.8252621068397403,4,4.0,0.4563155267099351,colorado,joint_none,primary
mask50,8012,1.8252621068397403,4,4.0,0.4563155267099351,colorado,joint_none,primary
mi_recency,8012,1.8252621068397403,4,4.0,0.4563155267099351,colorado,joint_none,primary
physical,8012,1.8252621068397403,4,4.0,0.4563155267099351,colorado,joint_none,primary
physical_availability,8012,1.8252621068397403,4,4.0,0.4563155267099351,colorado,joint_none,primary
physical_recovery,8012,1.8252621068397403,4,4.0,0.4563155267099351,colorado,joint_none,primary
recency,8012,1.8252621068397403,4,4.0,0.4563155267099351,colorado,joint_none,primary
rolling,8012,1.8252621068397403,4,4.0,0.4563155267099351,colorado,joint_none,primary
aci_bounded,8012,1.9755366949575637,20,4.0,0.4579380928607089,colorado,irradiance_first,primary
mask50,8012,1.9755366949575637,20,4.0,0.4579380928607089,colorado,irradiance_first,primary
mi_recency,8012,1.9755366949575637,20,4.0,0.4579380928607089,colorado,irradiance_first,primary
physical,8012,1.9755366949575637,20,4.0,0.4579380928607089,colorado,irradiance_first,primary
physical_availability,8012,1.9755366949575637,20,4.0,0.4579380928607089,colorado,irradiance_first,primary
physical_recovery,8012,1.9755366949575637,20,4.0,0.4579380928607089,colorado,irradiance_first,primary
recency,8012,1.9755366949575637,20,4.0,0.4579380928607089,colorado,irradiance_first,primary
rolling,8012,1.9755366949575637,20,4.0,0.4579380928607089,colorado,irradiance_first,primary
aci_bounded,8012,1.9755366949575637,20,4.0,0.46330504243634546,colorado,pv_first,primary
mask50,8012,1.9755366949575637,20,4.0,0.46330504243634546,colorado,pv_first,primary
mi_recency,8012,1.9755366949575637,20,4.0,0.46330504243634546,colorado,pv_first,primary
physical,8012,1.9755366949575637,20,4.0,0.46330504243634546,colorado,pv_first,primary
physical_availability,8012,1.9755366949575637,20,4.0,0.46330504243634546,colorado,pv_first,primary
physical_recovery,8012,1.9755366949575637,20,4.0,0.46330504243634546,colorado,pv_first,primary
recency,8012,1.9755366949575637,20,4.0,0.46330504243634546,colorado,pv_first,primary
rolling,8012,1.9755366949575637,20,4.0,0.46330504243634546,colorado,pv_first,primary
physical,8012,1.9755366949575637,20,4.0,0.4780329505741388,colorado,duration_6h,sensitivity
physical_availability,8012,1.9755366949575637,20,4.0,0.4780329505741388,colorado,duration_6h,sensitivity
physical_recovery,8012,1.9755366949575637,20,4.0,0.4780329505741388,colorado,duration_6h,sensitivity
recency,8012,1.9755366949575637,20,4.0,0.4780329505741388,colorado,duration_6h,sensitivity
physical,8012,1.9755366949575637,20,4.0,0.43409885172241636,colorado,duration_24h,sensitivity
physical_availability,8012,1.9755366949575637,20,4.0,0.43409885172241636,colorado,duration_24h,sensitivity
physical_recovery,8012,1.9755366949575637,20,4.0,0.43409885172241636,colorado,duration_24h,sensitivity
recency,8012,1.9755366949575637,20,4.0,0.43409885172241636,colorado,duration_24h,sensitivity
physical,8012,1.9755366949575637,8,4.0,0.4878931602596106,colorado,backfill_60min,sensitivity
physical_availability,8012,1.9755366949575637,8,4.0,0.4878931602596106,colorado,backfill_60min,sensitivity
physical_recovery,8012,1.9755366949575637,8,4.0,0.4878931602596106,colorado,backfill_60min,sensitivity
recency,8012,1.9755366949575637,8,4.0,0.4878931602596106,colorado,backfill_60min,sensitivity
physical,8012,1.9755366949575637,20,4.0,0.45044932601098353,colorado,channel_gap_6h,sensitivity
physical_availability,8012,1.9755366949575637,20,4.0,0.45044932601098353,colorado,channel_gap_6h,sensitivity
physical_recovery,8012,1.9755366949575637,20,4.0,0.45044932601098353,colorado,channel_gap_6h,sensitivity
recency,8012,1.9755366949575637,20,4.0,0.45044932601098353,colorado,channel_gap_6h,sensitivity
physical,8012,1.9755366949575637,20,4.0,0.46854717923115324,colorado,schedule_seed_2,sensitivity
physical_availability,8012,1.9755366949575637,20,4.0,0.46854717923115324,colorado,schedule_seed_2,sensitivity
physical_recovery,8012,1.9755366949575637,20,4.0,0.46854717923115324,colorado,schedule_seed_2,sensitivity
recency,8012,1.9755366949575637,20,4.0,0.46854717923115324,colorado,schedule_seed_2,sensitivity
physical,8012,1.9755366949575637,20,4.0,0.46193210184722916,colorado,schedule_seed_3,sensitivity
