recovery_hour_bin,nwis,n,site,method
8,0.04854783341848201,702,colorado,physical_recovery
9,0.048185301321272155,712,colorado,physical_recovery
10,0.04807520017724232,703,colorado,physical_recovery
11,0.048682917950723756,705,colorado,physical_recovery
12,0.048952020247555246,707,colorado,physical_recovery
13,0.049966190068329516,691,colorado,physical_recovery
14,0.05046768173527798,698,colorado,physical_recovery
15,0.05129296490495111,703,colorado,physical_recovery
16,0.05295594378599132,688,colorado,physical_recovery
17,0.05430190636031919,691,colorado,physical_recovery
18,0.05243716775622835,687,colorado,physical_recovery
19,0.053557075089726625,683,colorado,physical_recovery
20,0.05479182327785765,674,colorado,physical_recovery
21,0.053950205078081355,662,colorado,physical_recovery
22,0.05143423912981321,652,colorado,physical_recovery
23,0.04558622046761569,634,colorado,physical_recovery
0,0.045554430843386236,627,reserve10,raw
1,0.045937042344993025,621,reserve10,raw
2,0.0476037287542056,597,reserve10,raw
3,0.044957541679165984,563,reserve10,raw
4,0.04954964253843568,556,reserve10,raw
5,0.05544897429041285,554,reserve10,raw
6,0.050837751060795945,575,reserve10,raw
7,0.052985585711664056,595,reserve10,raw
8,0.05600974151214576,619,reserve10,raw
9,0.05232226682432707,636,reserve10,raw
10,0.052310924510524826,632,reserve10,raw
11,0.05480816938418292,644,reserve10,raw
12,0.054556028124290876,653,reserve10,raw
13,0.05844634029752021,643,reserve10,raw
14,0.05696065921292138,656,reserve10,raw
15,0.05635328069463791,672,reserve10,raw
16,0.05660360290164996,676,reserve10,raw
17,0.054480174062417716,694,reserve10,raw
18,0.0544254594710553,705,reserve10,raw
19,0.05386652309078266,711,reserve10,raw
20,0.05315252317587667,702,reserve10,raw
21,0.04825788522496429,690,reserve10,raw
22,0.05512874793051305,678,reserve10,raw
23,0.054865883772528,658,reserve10,raw
0,0.04598447748484532,627,reserve10,recency
1,0.046523905754738505,621,reserve10,recency
2,0.04789018886967505,597,reserve10,recency
3,0.04531399709822194,563,reserve10,recency
4,0.04982267284174851,556,reserve10,recency
5,0.055169214266098277,554,reserve10,recency
6,0.050612529187116784,575,reserve10,recency
7,0.05298910944842439,595,reserve10,recency
8,0.05581292824556039,619,reserve10,recency
9,0.05173974909402167,636,reserve10,recency
10,0.05140523180786938,632,reserve10,recency
11,0.053843650262316474,644,reserve10,recency
12,0.05351022726329135,653,reserve10,recency
13,0.0574442686141162,643,reserve10,recency
14,0.05616252514560458,656,reserve10,recency
15,0.05556760520439189,672,reserve10,recency
16,0.05600464138047391,676,reserve10,recency
17,0.05407323932166603,694,reserve10,recency
18,0.05416765201099099,705,reserve10,recency
19,0.053505090158834735,711,reserve10,recency
20,0.0527365421264308,702,reserve10,recency
21,0.04778807650812077,690,reserve10,recency
22,0.05434443319776714,678,reserve10,recency
23,0.05419595069405996,658,reserve10,recency
0,0.046099296122865195,627,reserve10,physical_availability
1,0.0466668333449557,621,reserve10,physical_availability
2,0.047991513475239576,597,reserve10,physical_availability
3,0.04546245913918308,563,reserve10,physical_availability
4,0.04989185090488045,556,reserve10,physical_availability
5,0.05499602473905062,554,reserve10,physical_availability
6,0.050390207461520384,575,reserve10,physical_availability
7,0.05284683310283146,595,reserve10,physical_availability
8,0.055578002070901765,619,reserve10,physical_availability
9,0.05149961660991524,636,reserve10,physical_availability
10,0.051430071525622394,632,reserve10,physical_availability
11,0.05383400861473223,644,reserve10,physical_availability
12,0.05341074074226863,653,reserve10,physical_availability
13,0.05723161528496813,643,reserve10,physical_availability
14,0.05606758523696647,656,reserve10,physical_availability
15,0.05544786630106884,672,reserve10,physical_availability
16,0.05582213622013702,676,reserve10,physical_availability
17,0.05416534562774113,694,reserve10,physical_availability
18,0.05433348793999071,705,reserve10,physical_availability
19,0.05361700341543014,711,reserve10,physical_availability
20,0.05278460151139286,702,reserve10,physical_availability
21,0.04784091913519433,690,reserve10,physical_availability
22,0.05410677614258945,678,reserve10,physical_availability
23,0.053870478714667276,658,reserve10,physical_availability
0,0.04600167686440381,627,reserve10,physical_recovery
1,0.046554944493868135,621,reserve10,physical_recovery
2,0.047850855981267,597,reserve10,physical_recovery
3,0.04526311201481446,563,reserve10,physical_recovery
4,0.04990173169328231,556,reserve10,physical_recovery
5,0.05518426770183715,554,reserve10,physical_recovery
6,0.05056317140073634,575,reserve10,physical_recovery
7,0.053139556345327583,595,reserve10,physical_recovery
8,0.05586868998932767,619,reserve10,physical_recovery
9,0.051659318825256866,636,reserve10,physical_recovery
10,0.05147000736802352,632,reserve10,physical_recovery
11,0.05378208235827285,644,reserve10,physical_recovery
12,0.05329749348387685,653,reserve10,physical_recovery
13,0.05739197048208459,643,reserve10,physical_recovery
14,0.05619424218432866,656,reserve10,physical_recovery
15,0.05556091393773029,672,reserve10,physical_recovery
16,0.0559030800954617,676,reserve10,physical_recovery
17,0.05420088932680639,694,reserve10,physical_recovery
18,0.054298765457646114,705,reserve10,physical_recovery
19,0.05366985220200175,711,reserve10,physical_recovery
20,0.0527495217949215,702,reserve10,physical_recovery
21,0.04783106236359878,690,reserve10,physical_recovery
22,0.05413138440880572,678,reserve10,physical_recovery
23,0.05386692197873683,658,reserve10,physical_recovery
