site,population,pool,endpoint,contrast,supported,metric,left_mean,right_mean,difference,ci_lower,ci_upper,relative_difference,relative_ci_lower,relative_ci_upper,strata,paired_rows,eligible_days,calendar_blocks,nonempty_blocks,block_days,bootstrap_replicates,valid_replicates,rejected_fraction,seed
colorado,recorded_ac,right_aligned,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0425850358276825,0.0425405949711176,4.444085656493679e-05,5.726304906045719e-06,8.756418650329496e-05,0.0010446693704004,0.000134018380531,0.0020772456135253,4,2271,86,24,24,14,10000,10000,0.0,1910903915
colorado,recorded_ac,right_aligned,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0425850358276825,0.0425405949711176,4.444085656493679e-05,7.045064245522934e-06,8.24626692852888e-05,0.0010446693704004,0.0001645963359122,0.0019388182080128,4,2271,86,12,12,28,10000,10000,0.0,155577661
reserve10,recorded_ac,right_aligned,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0522823744270855,0.0522549699455367,2.7404481548830295e-05,-3.8043314438190696e-05,0.0001035499003623,0.0005244378013688,-0.0007586833648079,0.0018843955243895,4,2193,83,48,45,7,10000,10000,0.0,145193382
reserve10,recorded_ac,right_aligned,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0522823744270855,0.0522549699455367,2.7404481548830295e-05,-2.88987801513799e-05,8.942435455665323e-05,0.0005244378013688,-0.0005749057637157,0.0016634760301128,4,2193,83,24,24,14,10000,10000,0.0,2105486958
reserve10,recorded_ac,right_aligned,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0522823744270855,0.0522549699455367,2.7404481548830295e-05,-2.9128803238842593e-05,9.838470713234012e-05,0.0005244378013688,-0.0006195430746049,0.0016928208670441,4,2193,83,12,12,28,10000,10000,0.0,3346213772
nist,recorded_ac,receipt_5min,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0469236948333714,0.0469095598159198,1.4135017451594178e-05,-6.388616070598547e-05,9.553761350524544e-05,0.0003013248793436,-0.001389914909273,0.0019943154201611,4,2305,76,48,47,7,10000,10000,0.0,1118819725
nist,recorded_ac,receipt_5min,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0469236948333714,0.0469095598159198,1.4135017451594178e-05,-5.847192967038655e-05,9.01985160821036e-05,0.0003013248793436,-0.0012416495603751,0.0018670598329974,4,2305,76,24,24,14,10000,10000,0.0,3270146022
nist,recorded_ac,receipt_5min,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0469236948333714,0.0469095598159198,1.4135017451594178e-05,-7.485799656045938e-05,0.0001102763041237,0.0003013248793436,-0.0016116062487048,0.0022278488646078,4,2305,76,12,12,28,10000,10000,0.0,328377403
colorado,recorded_ac,receipt_5min,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0466799732740977,0.0466319246260326,4.8048648065047994e-05,1.290190993798908e-05,8.722879664707777e-05,0.0010303809772034,0.0002793901005922,0.0018685468407806,4,2271,86,48,46,7,10000,10000,0.0,635556823
colorado,recorded_ac,receipt_5min,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0466799732740977,0.0466319246260326,4.8048648065047994e-05,1.3063552523101714e-05,8.559931212257077e-05,0.0010303809772034,0.0002748335051817,0.0018663572564905,4,2271,86,24,24,14,10000,10000,0.0,537800951
colorado,recorded_ac,receipt_5min,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0466799732740977,0.0466319246260326,4.8048648065047994e-05,1.2705024217129876e-05,8.449822375267562e-05,0.0010303809772034,0.000261073761964,0.0018538122646965,4,2271,86,12,12,28,10000,10000,0.0,3609046176
reserve10,recorded_ac,receipt_5min,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0520970659716186,0.0520706427173422,2.6423254276354557e-05,-3.886211068406184e-05,9.93657722727234e-05,0.0005074501273162,-0.0007695920074581,0.0018407907542012,4,2193,83,48,45,7,10000,10000,0.0,3292149311
reserve10,recorded_ac,receipt_5min,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0520970659716186,0.0520706427173422,2.6423254276354557e-05,-2.7461803924296033e-05,8.857043035458526e-05,0.0005074501273162,-0.000546027248994,0.0016662742598207,4,2193,83,24,24,14,10000,10000,0.0,1608548861
reserve10,recorded_ac,receipt_5min,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0520970659716186,0.0520706427173422,2.6423254276354557e-05,-1.9557710820112222e-05,8.60409490301318e-05,0.0005074501273162,-0.0004129257562222,0.0014769640669747,4,2193,83,12,12,28,10000,10000,0.0,2384233399
