horizon,n,nwis,nmae,coverage50,coverage80,coverage90,nwidth90,events,site,case_id,population,method,reference_case,window
1,301,0.0477363961408756,0.0777727402752865,0.5116279069767442,0.8538205980066446,0.9269102990033222,0.383641956364733,47,reserve10,irradiance_only,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
2,298,0.0587650179000483,0.1058663519985726,0.436241610738255,0.7416107382550335,0.8624161073825504,0.4353846048817729,46,reserve10,irradiance_only,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
3,297,0.0643481142413008,0.1215524157469467,0.3838383838383838,0.7104377104377104,0.8787878787878788,0.4514033515193345,45,reserve10,irradiance_only,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
4,297,0.0661712967671081,0.1283980494153312,0.4006734006734007,0.734006734006734,0.8686868686868687,0.4553108254639042,44,reserve10,irradiance_only,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
1,301,0.0697084614192817,0.1389758663068556,0.5049833887043189,0.7906976744186046,0.9136212624584718,0.5129707786401817,47,reserve10,joint_immediate,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
2,298,0.0681851359484047,0.1375285315222199,0.4697986577181208,0.7550335570469798,0.8791946308724832,0.4730595609160716,46,reserve10,joint_immediate,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
3,297,0.067643611047821,0.1359482289270497,0.4309764309764309,0.7239057239057239,0.8888888888888888,0.4665905980348166,45,reserve10,joint_immediate,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
4,297,0.066962611151015,0.1321652657925299,0.4242424242424242,0.7138047138047138,0.8619528619528619,0.4564779858711298,44,reserve10,joint_immediate,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
1,301,0.0697084614192817,0.1389758663068556,0.5049833887043189,0.7906976744186046,0.9136212624584718,0.5129707786401817,47,reserve10,joint_gradual,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
2,298,0.0681851359484047,0.1375285315222199,0.4697986577181208,0.7550335570469798,0.8791946308724832,0.4730595609160716,46,reserve10,joint_gradual,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
