phase,event_id,difference,contrast,site,scenario
outage,28,-6.953947966255006e-05,mask50_minus_recency,nist,joint_gradual
outage,29,1.3712387398438866e-05,mask50_minus_recency,nist,joint_gradual
outage,30,-3.0122953743375102e-05,mask50_minus_recency,nist,joint_gradual
outage,31,0.0002690102643202899,mask50_minus_recency,nist,joint_gradual
outage,32,-6.241545463234627e-05,mask50_minus_recency,nist,joint_gradual
outage,33,8.456931909207662e-05,mask50_minus_recency,nist,joint_gradual
outage,34,-2.965017903210801e-05,mask50_minus_recency,nist,joint_gradual
outage,35,-2.552147525859892e-05,mask50_minus_recency,nist,joint_gradual
outage,36,2.2938333732322283e-06,mask50_minus_recency,nist,joint_gradual
outage,37,-3.137823986915375e-05,mask50_minus_recency,nist,joint_gradual
outage,38,0.0,mask50_minus_recency,nist,joint_gradual
outage,39,-0.0004920991579578273,mask50_minus_recency,nist,joint_gradual
outage,40,-0.0013212499792174673,mask50_minus_recency,nist,joint_gradual
outage,42,0.0006779831388124938,mask50_minus_recency,nist,joint_gradual
outage,43,9.77194938319375e-05,mask50_minus_recency,nist,joint_gradual
outage,44,4.302178577787593e-05,mask50_minus_recency,nist,joint_gradual
outage,45,9.546271025137398e-05,mask50_minus_recency,nist,joint_gradual
outage,46,0.00011167755255942058,mask50_minus_recency,nist,joint_gradual
outage,47,-8.576450196125414e-05,mask50_minus_recency,nist,joint_gradual
outage,48,0.0002765846138922945,mask50_minus_recency,nist,joint_gradual
outage,49,0.00020835882448355566,mask50_minus_recency,nist,joint_gradual
outage,50,-3.972298306331983e-06,mask50_minus_recency,nist,joint_gradual
outage,51,-6.689519533760061e-06,mask50_minus_recency,nist,joint_gradual
recovery_0_6,26,0.00011250933844452885,mask50_minus_recency,nist,joint_gradual
recovery_0_6,27,-0.00031971382232421096,mask50_minus_recency,nist,joint_gradual
recovery_0_6,28,-0.0002706420902986069,mask50_minus_recency,nist,joint_gradual
recovery_0_6,29,-0.00034210982688340246,mask50_minus_recency,nist,joint_gradual
recovery_0_6,31,1.3038781082234376e-05,mask50_minus_recency,nist,joint_gradual
recovery_0_6,32,-4.4412053484148304e-05,mask50_minus_recency,nist,joint_gradual
recovery_0_6,34,3.7145218556206455e-05,mask50_minus_recency,nist,joint_gradual
recovery_0_6,35,-9.761826819370215e-05,mask50_minus_recency,nist,joint_gradual
recovery_0_6,36,-5.959169419907298e-05,mask50_minus_recency,nist,joint_gradual
recovery_0_6,37,5.584701977309545e-05,mask50_minus_recency,nist,joint_gradual
recovery_0_6,38,-4.45818672682877e-05,mask50_minus_recency,nist,joint_gradual
recovery_0_6,39,0.000174680737571891,mask50_minus_recency,nist,joint_gradual
recovery_0_6,40,-0.00032067289808460287,mask50_minus_recency,nist,joint_gradual
recovery_0_6,41,0.0,mask50_minus_recency,nist,joint_gradual
recovery_0_6,42,0.00020853302888392534,mask50_minus_recency,nist,joint_gradual
recovery_0_6,43,-0.0008383059971012047,mask50_minus_recency,nist,joint_gradual
recovery_0_6,44,-0.00029845166224230606,mask50_minus_recency,nist,joint_gradual
recovery_0_6,45,-1.4164558130321433e-05,mask50_minus_recency,nist,joint_gradual
recovery_0_6,46,1.4625368352187463e-06,mask50_minus_recency,nist,joint_gradual
recovery_0_6,47,0.0003355621096651557,mask50_minus_recency,nist,joint_gradual
recovery_0_6,48,-2.6970430948920217e-05,mask50_minus_recency,nist,joint_gradual
recovery_0_6,49,-4.7152919874314055e-05,mask50_minus_recency,nist,joint_gradual
recovery_0_6,50,6.867339207747457e-05,mask50_minus_recency,nist,joint_gradual
recovery_6_24,26,0.00019478503893195445,mask50_minus_recency,nist,joint_gradual
recovery_6_24,27,-0.00017360636862541793,mask50_minus_recency,nist,joint_gradual
recovery_6_24,28,7.254461309984403e-05,mask50_minus_recency,nist,joint_gradual
recovery_6_24,29,-9.244852685300717e-06,mask50_minus_recency,nist,joint_gradual
recovery_6_24,30,4.069556309554462e-06,mask50_minus_recency,nist,joint_gradual
recovery_6_24,31,-8.527864306949111e-05,mask50_minus_recency,nist,joint_gradual
recovery_6_24,32,-4.082787116956665e-06,mask50_minus_recency,nist,joint_gradual
