phase,event_id,difference,contrast,site
outage,33,0.0,joint_none_minus_immediate__quantile_flexible,nist
outage,34,0.0,joint_none_minus_immediate__quantile_flexible,nist
outage,35,0.0,joint_none_minus_immediate__quantile_flexible,nist
outage,36,0.0,joint_none_minus_immediate__quantile_flexible,nist
outage,37,0.0,joint_none_minus_immediate__quantile_flexible,nist
outage,38,0.0,joint_none_minus_immediate__quantile_flexible,nist
outage,39,0.0,joint_none_minus_immediate__quantile_flexible,nist
outage,40,0.0,joint_none_minus_immediate__quantile_flexible,nist
outage,42,0.0,joint_none_minus_immediate__quantile_flexible,nist
outage,43,0.0,joint_none_minus_immediate__quantile_flexible,nist
outage,44,0.0,joint_none_minus_immediate__quantile_flexible,nist
outage,45,0.0,joint_none_minus_immediate__quantile_flexible,nist
outage,46,0.0,joint_none_minus_immediate__quantile_flexible,nist
outage,47,0.0,joint_none_minus_immediate__quantile_flexible,nist
outage,48,0.0,joint_none_minus_immediate__quantile_flexible,nist
outage,49,0.0,joint_none_minus_immediate__quantile_flexible,nist
outage,50,0.0,joint_none_minus_immediate__quantile_flexible,nist
outage,51,0.0,joint_none_minus_immediate__quantile_flexible,nist
recovery_0_6,26,0.00808070328200653,joint_none_minus_immediate__quantile_flexible,nist
recovery_0_6,27,0.014800895761858215,joint_none_minus_immediate__quantile_flexible,nist
recovery_0_6,28,0.0026338383750494844,joint_none_minus_immediate__quantile_flexible,nist
recovery_0_6,29,-0.0008540490046949834,joint_none_minus_immediate__quantile_flexible,nist
recovery_0_6,31,-0.003468084696538662,joint_none_minus_immediate__quantile_flexible,nist
recovery_0_6,32,-0.003097630059338197,joint_none_minus_immediate__quantile_flexible,nist
recovery_0_6,34,0.04538039518748743,joint_none_minus_immediate__quantile_flexible,nist
recovery_0_6,35,0.053191938851391306,joint_none_minus_immediate__quantile_flexible,nist
recovery_0_6,36,0.022929666045247012,joint_none_minus_immediate__quantile_flexible,nist
recovery_0_6,37,-0.0032079713681972535,joint_none_minus_immediate__quantile_flexible,nist
recovery_0_6,38,-0.002266715403962118,joint_none_minus_immediate__quantile_flexible,nist
recovery_0_6,39,0.006762960485869036,joint_none_minus_immediate__quantile_flexible,nist
recovery_0_6,40,0.007829310311595514,joint_none_minus_immediate__quantile_flexible,nist
recovery_0_6,41,0.0,joint_none_minus_immediate__quantile_flexible,nist
recovery_0_6,42,-0.002242318403898515,joint_none_minus_immediate__quantile_flexible,nist
recovery_0_6,43,-0.008692509779211492,joint_none_minus_immediate__quantile_flexible,nist
recovery_0_6,44,0.018619996973528494,joint_none_minus_immediate__quantile_flexible,nist
recovery_0_6,45,-0.01730853911174331,joint_none_minus_immediate__quantile_flexible,nist
recovery_0_6,46,0.003693967422102004,joint_none_minus_immediate__quantile_flexible,nist
recovery_0_6,47,-0.010662703909728755,joint_none_minus_immediate__quantile_flexible,nist
recovery_0_6,48,-0.01451721848643591,joint_none_minus_immediate__quantile_flexible,nist
recovery_0_6,49,0.008869118332427579,joint_none_minus_immediate__quantile_flexible,nist
recovery_0_6,50,0.0453032575214827,joint_none_minus_immediate__quantile_flexible,nist
recovery_6_24,26,0.006669094583406308,joint_none_minus_immediate__quantile_flexible,nist
recovery_6_24,27,0.009631948464906006,joint_none_minus_immediate__quantile_flexible,nist
recovery_6_24,28,0.010523392700997558,joint_none_minus_immediate__quantile_flexible,nist
recovery_6_24,29,0.010766955910626624,joint_none_minus_immediate__quantile_flexible,nist
recovery_6_24,30,0.02007387471401165,joint_none_minus_immediate__quantile_flexible,nist
recovery_6_24,31,-0.006636401713909456,joint_none_minus_immediate__quantile_flexible,nist
recovery_6_24,32,0.0031766936060238604,joint_none_minus_immediate__quantile_flexible,nist
recovery_6_24,33,0.036458607014722,joint_none_minus_immediate__quantile_flexible,nist
recovery_6_24,34,0.020980500361818106,joint_none_minus_immediate__quantile_flexible,nist
recovery_6_24,35,0.039221232985982575,joint_none_minus_immediate__quantile_flexible,nist
recovery_6_24,36,0.0026744158929944343,joint_none_minus_immediate__quantile_flexible,nist
recovery_6_24,37,-0.0021301215096196555,joint_none_minus_immediate__quantile_flexible,nist
recovery_6_24,38,0.0035189886510666847,joint_none_minus_immediate__quantile_flexible,nist
recovery_6_24,39,0.008149615909529407,joint_none_minus_immediate__quantile_flexible,nist
recovery_6_24,40,0.01462876738161294,joint_none_minus_immediate__quantile_flexible,nist
recovery_6_24,41,0.0,joint_none_minus_immediate__quantile_flexible,nist
recovery_6_24,42,0.012463787223969226,joint_none_minus_immediate__quantile_flexible,nist
recovery_6_24,43,-0.0023999440566948057,joint_none_minus_immediate__quantile_flexible,nist
recovery_6_24,44,0.038973576675870675,joint_none_minus_immediate__quantile_flexible,nist
recovery_6_24,45,0.00420006217706289,joint_none_minus_immediate__quantile_flexible,nist
recovery_6_24,46,0.016385432965268475,joint_none_minus_immediate__quantile_flexible,nist
recovery_6_24,47,0.0022367938289571403,joint_none_minus_immediate__quantile_flexible,nist
recovery_6_24,48,0.003100026150331886,joint_none_minus_immediate__quantile_flexible,nist
recovery_6_24,49,0.0005136326146942413,joint_none_minus_immediate__quantile_flexible,nist
recovery_6_24,50,0.017833514493746726,joint_none_minus_immediate__quantile_flexible,nist
recovery_6_24,51,0.002409467733346608,joint_none_minus_immediate__quantile_flexible,nist
outage,26,0.0,joint_gradual_minus_immediate__single_imputation_compact,nist
outage,27,0.0,joint_gradual_minus_immediate__single_imputation_compact,nist
outage,28,0.0,joint_gradual_minus_immediate__single_imputation_compact,nist
outage,29,0.0,joint_gradual_minus_immediate__single_imputation_compact,nist
outage,30,0.0,joint_gradual_minus_immediate__single_imputation_compact,nist
outage,31,0.0,joint_gradual_minus_immediate__single_imputation_compact,nist
outage,32,0.0,joint_gradual_minus_immediate__single_imputation_compact,nist
outage,33,0.0,joint_gradual_minus_immediate__single_imputation_compact,nist
outage,34,0.0,joint_gradual_minus_immediate__single_imputation_compact,nist
outage,35,0.0,joint_gradual_minus_immediate__single_imputation_compact,nist
outage,36,0.0,joint_gradual_minus_immediate__single_imputation_compact,nist
outage,37,0.0,joint_gradual_minus_immediate__single_imputation_compact,nist
outage,38,0.0,joint_gradual_minus_immediate__single_imputation_compact,nist
outage,39,0.0,joint_gradual_minus_immediate__single_imputation_compact,nist
outage,40,0.0,joint_gradual_minus_immediate__single_imputation_compact,nist
outage,42,0.0,joint_gradual_minus_immediate__single_imputation_compact,nist
outage,43,0.0,joint_gradual_minus_immediate__single_imputation_compact,nist
outage,44,0.0,joint_gradual_minus_immediate__single_imputation_compact,nist
outage,45,0.0,joint_gradual_minus_immediate__single_imputation_compact,nist
outage,46,0.0,joint_gradual_minus_immediate__single_imputation_compact,nist
outage,47,0.0,joint_gradual_minus_immediate__single_imputation_compact,nist
outage,48,0.0,joint_gradual_minus_immediate__single_imputation_compact,nist
outage,49,0.0,joint_gradual_minus_immediate__single_imputation_compact,nist
outage,50,0.0,joint_gradual_minus_immediate__single_imputation_compact,nist
outage,51,0.0,joint_gradual_minus_immediate__single_imputation_compact,nist
recovery_0_6,26,0.001940415877441293,joint_gradual_minus_immediate__single_imputation_compact,nist
recovery_0_6,27,1.4547644432297627e-05,joint_gradual_minus_immediate__single_imputation_compact,nist
recovery_0_6,28,0.0014818826982035311,joint_gradual_minus_immediate__single_imputation_compact,nist
recovery_0_6,29,2.1565729210465748e-05,joint_gradual_minus_immediate__single_imputation_compact,nist
recovery_0_6,31,-4.33425006484571e-05,joint_gradual_minus_immediate__single_imputation_compact,nist
recovery_0_6,32,-0.00553526575358372,joint_gradual_minus_immediate__single_imputation_compact,nist
recovery_0_6,34,0.003281118346148862,joint_gradual_minus_immediate__single_imputation_compact,nist
recovery_0_6,35,-0.00012444355340320498,joint_gradual_minus_immediate__single_imputation_compact,nist
