horizon,n,nwis,nmae,coverage50,coverage80,coverage90,nwidth90,events,site,case_id,population,method,reference_case,window
1,297,0.06855994603413659,0.06473215516471477,0.05723905723905724,0.16161616161616163,0.2895622895622896,0.48594247013901287,46,colorado,joint_immediate,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
2,293,0.09605457758798051,0.22363876382021736,0.03754266211604096,0.11604095563139932,0.25597269624573377,0.4604323784542795,45,colorado,joint_immediate,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
3,292,0.09585659013797902,0.181348153032707,0.07876712328767123,0.13356164383561644,0.22945205479452055,0.4304560677357588,44,colorado,joint_immediate,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
4,291,0.09407187323201728,0.20274989921611375,0.05154639175257732,0.13058419243986255,0.30584192439862545,0.4235604958140759,43,colorado,joint_immediate,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
1,297,0.06855994603413659,0.06473215516471477,0.05723905723905724,0.16161616161616163,0.2895622895622896,0.48594247013901287,46,colorado,joint_immediate,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
2,293,0.09605457758798051,0.22363876382021736,0.03754266211604096,0.11604095563139932,0.25597269624573377,0.4604323784542795,45,colorado,joint_immediate,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
3,292,0.09585659013797902,0.181348153032707,0.07876712328767123,0.13356164383561644,0.22945205479452055,0.4304560677357588,44,colorado,joint_immediate,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
4,291,0.09407187323201728,0.20274989921611375,0.05154639175257732,0.13058419243986255,0.30584192439862545,0.4235604958140759,43,colorado,joint_immediate,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
1,297,0.06855994603413659,0.06473215516471477,0.05723905723905724,0.16161616161616163,0.2895622895622896,0.48594247013901287,46,colorado,joint_gradual,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
2,293,0.09605457758798051,0.22363876382021736,0.03754266211604096,0.11604095563139932,0.25597269624573377,0.4604323784542795,45,colorado,joint_gradual,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
3,292,0.09585659013797902,0.181348153032707,0.07876712328767123,0.13356164383561644,0.22945205479452055,0.4304560677357588,44,colorado,joint_gradual,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
4,291,0.09407187323201728,0.20274989921611375,0.05154639175257732,0.13058419243986255,0.30584192439862545,0.4235604958140759,43,colorado,joint_gradual,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
1,297,0.06855994603413659,0.06473215516471477,0.05723905723905724,0.16161616161616163,0.2895622895622896,0.48594247013901287,46,colorado,joint_gradual,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
