site,case_id,case_group,method,horizon,n,nwis,nmae,coverage50,coverage80,coverage90,nwidth90,events,days,population,endpoint
reserve10,clean,primary,physical_recovery,2,3954,0.05206557277520593,0.08977066997722571,0.5103692463328275,0.812089023773394,0.9099645928174,0.4063769128257184,0,325,exclude_bright_zero,all
reserve10,clean,primary,physical_recovery,3,3954,0.05797666934807454,0.1027695339015478,0.5053110773899848,0.8118361153262519,0.9074355083459787,0.4341689635852366,0,325,exclude_bright_zero,all
reserve10,clean,primary,physical_recovery,4,3954,0.06104678113833471,0.11042282476238839,0.5007587253414264,0.8093070308548306,0.9064238745574102,0.44177791177055115,0,325,exclude_bright_zero,all
reserve10,clean,primary,previous_day,1,3954,0.10102449291454066,0.1569299956985241,0.48406676783004554,0.7779463834092059,0.877845220030349,0.6562889663969917,0,326,exclude_bright_zero,all
reserve10,clean,primary,previous_day,2,3954,0.10137142928730383,0.1583353697412355,0.49241274658573597,0.7847749114820435,0.8829033889731916,0.6733253151618989,0,325,exclude_bright_zero,all
reserve10,clean,primary,previous_day,3,3954,0.10166255156477853,0.15933862921593112,0.494436014162873,0.7918563480020233,0.8940313606474456,0.6923104318791847,0,325,exclude_bright_zero,all
reserve10,clean,primary,previous_day,4,3954,0.10228744569597566,0.16032775896552917,0.4936772888214466,0.7959028831562974,0.8950429944360142,0.702751352524907,0,325,exclude_bright_zero,all
reserve10,clean,primary,raw,1,3954,0.03914644432036182,0.06389370475258582,0.4178047546788063,0.7066262013151239,0.8558421851289834,0.2906562876644622,0,326,exclude_bright_zero,all
reserve10,clean,primary,raw,2,3954,0.052716558394810306,0.08977066997722571,0.39200809307030854,0.687910976226606,0.8267577137076378,0.3806767651903672,0,325,exclude_bright_zero,all
reserve10,clean,primary,raw,3,3954,0.058803953419446976,0.1027695339015478,0.3775923115832069,0.6752655538694993,0.8229640870005058,0.4009603846567427,0,325,exclude_bright_zero,all
reserve10,clean,primary,raw,4,3954,0.061858366169702715,0.11042282476238839,0.37733940313606473,0.6694486595852301,0.8199291856348002,0.4061778585892765,0,325,exclude_bright_zero,all
reserve10,clean,primary,recency,1,3954,0.0389497515266009,0.06389370475258582,0.5065756196256955,0.8037430450177036,0.9051593323216995,0.30481021705173117,0,326,exclude_bright_zero,all
reserve10,clean,primary,recency,2,3954,0.052241333392743686,0.08977066997722571,0.5128983308042488,0.80450177035913,0.9016186140617096,0.40212935004715195,0,325,exclude_bright_zero,all
reserve10,clean,primary,recency,3,3954,0.05814638232562154,0.1027695339015478,0.507587253414264,0.8034901365705615,0.9028831562974203,0.4306788592704288,0,325,exclude_bright_zero,all
reserve10,clean,primary,recency,4,3954,0.06122870077120881,0.11042282476238839,0.5007587253414264,0.8019726858877086,0.8990895295902883,0.4384623872303294,0,325,exclude_bright_zero,all
