site,case_id,method,horizon,recovery_hour_bin,n,nwis,coverage90,events
reserve10,pv_only,geometric_persistence,3,20,27,0.09018545881377778,0.9259259259259259,27
reserve10,pv_only,geometric_persistence,3,21,23,0.10617293506615866,0.8695652173913043,23
reserve10,pv_only,geometric_persistence,3,22,23,0.09919219617639144,0.9565217391304348,23
reserve10,pv_only,geometric_persistence,3,23,25,0.07598979869311949,1.0,25
reserve10,pv_only,geometric_persistence,4,0,22,0.0953212842644601,0.9545454545454546,22
reserve10,pv_only,geometric_persistence,4,1,22,0.09057922100348217,0.9545454545454546,22
reserve10,pv_only,geometric_persistence,4,2,20,0.09823502502707963,0.95,20
reserve10,pv_only,geometric_persistence,4,3,17,0.1392386483458795,0.8823529411764706,17
reserve10,pv_only,geometric_persistence,4,4,19,0.1107238532126175,0.9473684210526315,19
reserve10,pv_only,geometric_persistence,4,5,20,0.09829520975997694,1.0,20
reserve10,pv_only,geometric_persistence,4,6,23,0.1024994940537304,0.9565217391304348,23
reserve10,pv_only,geometric_persistence,4,7,21,0.10957788619930313,0.9523809523809523,21
reserve10,pv_only,geometric_persistence,4,8,23,0.11258376430054076,0.9130434782608695,23
reserve10,pv_only,geometric_persistence,4,9,23,0.11343465655278331,0.9565217391304348,23
reserve10,pv_only,geometric_persistence,4,10,23,0.11022592771958953,0.9565217391304348,23
reserve10,pv_only,geometric_persistence,4,11,23,0.11117635134338538,1.0,23
reserve10,pv_only,geometric_persistence,4,12,24,0.10566784946273967,0.875,24
reserve10,pv_only,geometric_persistence,4,13,21,0.1296049076155294,0.9047619047619048,21
reserve10,pv_only,geometric_persistence,4,14,24,0.12307961566493952,0.9166666666666666,24
reserve10,pv_only,geometric_persistence,4,15,25,0.12636662022794154,0.92,25
reserve10,pv_only,geometric_persistence,4,16,24,0.12807819260159345,0.9583333333333334,24
reserve10,pv_only,geometric_persistence,4,17,25,0.12858946362726875,0.88,25
reserve10,pv_only,geometric_persistence,4,18,27,0.1215978978178211,0.8518518518518519,27
reserve10,pv_only,geometric_persistence,4,19,27,0.11371874830645251,0.8518518518518519,27
reserve10,pv_only,geometric_persistence,4,20,23,0.12644911682130336,0.9130434782608695,23
reserve10,pv_only,geometric_persistence,4,21,23,0.11209148177407222,0.9130434782608695,23
reserve10,pv_only,geometric_persistence,4,22,25,0.09668529118849573,0.96,25
reserve10,pv_only,geometric_persistence,4,23,25,0.08027486692283298,0.92,25
reserve10,pv_only,mask50,1,0,22,0.044126003736312806,0.9090909090909091,22
reserve10,pv_only,mask50,1,1,24,0.038338715859308474,0.9583333333333334,24
reserve10,pv_only,mask50,1,2,25,0.039689542821865854,0.88,25
reserve10,pv_only,mask50,1,3,22,0.026503474877950305,0.9545454545454546,22
reserve10,pv_only,mask50,1,4,22,0.029487888076802634,1.0,22
reserve10,pv_only,mask50,1,5,20,0.034798561742638096,0.95,20
reserve10,pv_only,mask50,1,6,17,0.03716486180765825,1.0,17
reserve10,pv_only,mask50,1,7,19,0.03598459598374251,0.9473684210526315,19
reserve10,pv_only,mask50,1,8,20,0.044397584577772924,0.95,20
reserve10,pv_only,mask50,1,9,23,0.040238032714977216,0.9130434782608695,23
reserve10,pv_only,mask50,1,10,21,0.03543730522586373,0.9523809523809523,21
reserve10,pv_only,mask50,1,11,23,0.037606619139057454,0.8695652173913043,23
reserve10,pv_only,mask50,1,12,23,0.03831841283980404,0.8695652173913043,23
reserve10,pv_only,mask50,1,13,23,0.03475548214120767,0.7391304347826086,23
reserve10,pv_only,mask50,1,14,23,0.038297359613942226,0.8695652173913043,23
reserve10,pv_only,mask50,1,15,24,0.03047464699866134,0.875,24
reserve10,pv_only,mask50,1,16,21,0.04066159293751385,0.8095238095238095,21
reserve10,pv_only,mask50,1,17,24,0.027903529369303487,1.0,24
reserve10,pv_only,mask50,1,18,25,0.03723141806479691,0.88,25
reserve10,pv_only,mask50,1,19,24,0.04181574135353375,0.875,24
reserve10,pv_only,mask50,1,20,25,0.04427695358682491,0.84,25
reserve10,pv_only,mask50,1,21,27,0.026642764161831884,0.9259259259259259,27
reserve10,pv_only,mask50,1,22,27,0.038790190267910814,0.8888888888888888,27
reserve10,pv_only,mask50,1,23,23,0.04589964215138708,0.8260869565217391,23
reserve10,pv_only,mask50,2,0,24,0.04730220358125196,0.9583333333333334,24
reserve10,pv_only,mask50,2,1,25,0.04577254142083027,1.0,25
reserve10,pv_only,mask50,2,2,22,0.045027911991254284,0.9090909090909091,22
reserve10,pv_only,mask50,2,3,22,0.040317884166280064,1.0,22
reserve10,pv_only,mask50,2,4,20,0.03794160714187964,0.95,20
reserve10,pv_only,mask50,2,5,17,0.0602097336172561,1.0,17
reserve10,pv_only,mask50,2,6,19,0.04576865539593121,1.0,19
reserve10,pv_only,mask50,2,7,20,0.054116201738398276,0.95,20
reserve10,pv_only,mask50,2,8,23,0.056071654491437924,0.9130434782608695,23
reserve10,pv_only,mask50,2,9,21,0.05378731076365492,0.9523809523809523,21
reserve10,pv_only,mask50,2,10,23,0.050711646747736504,0.9565217391304348,23
reserve10,pv_only,mask50,2,11,23,0.050018348693006455,0.9565217391304348,23
reserve10,pv_only,mask50,2,12,23,0.04804999993439968,0.8695652173913043,23
reserve10,pv_only,mask50,2,13,23,0.054984233476012154,0.782608695652174,23
reserve10,pv_only,mask50,2,14,24,0.051470783228207,0.875,24
reserve10,pv_only,mask50,2,15,21,0.063608216318819,0.8571428571428571,21
reserve10,pv_only,mask50,2,16,24,0.05046034149696423,0.7916666666666666,24
reserve10,pv_only,mask50,2,17,25,0.04959737128639794,0.92,25
reserve10,pv_only,mask50,2,18,24,0.06194588333958486,0.7916666666666666,24
reserve10,pv_only,mask50,2,19,25,0.05622935099894594,0.92,25
reserve10,pv_only,mask50,2,20,27,0.0494143219602268,0.9259259259259259,27
reserve10,pv_only,mask50,2,21,27,0.042953110380470255,0.9259259259259259,27
reserve10,pv_only,mask50,2,22,23,0.06307685415868765,0.8260869565217391,23
reserve10,pv_only,mask50,2,23,23,0.06608719594548922,0.8260869565217391,23
reserve10,pv_only,mask50,3,0,25,0.04347229008899019,0.96,25
reserve10,pv_only,mask50,3,1,22,0.04642284240099382,1.0,22
reserve10,pv_only,mask50,3,2,22,0.04484508951351728,1.0,22
reserve10,pv_only,mask50,3,3,20,0.04193467450240517,0.95,20
